title,year,mileage,transmission,fuel,body_color,inside_color,body_status,description,body_type,volume,engine,acceleration,price
پژو، 206 SD,1392,"200,000 km",دنده ای,6.6 لیتر در صد کیلومتر,نوک مدادی,مشکی,دو لکه رنگ,,passenger_car,1.6 لیتر,4 سیلندر TU5,11.4 ثانیه,"410,000,000"
مزدا، 3 نیو صندوق دار,1398,"35,000 km",اتوماتیک,7.6 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,شرکت بازرگانی صابری-فول -مانیتور بزرگ-سنسور پارک-فروش یا معاوضه با خودرو-بازدید از ساعت 9 الی 20,passenger_car,2 لیتر,4 سیلندر,9.2 ثانیه,"2,500,000,000"
شاهین، G دنده ای,1401,"32,000 km",دنده ای,7.2 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,"_ گارانتی فعال
_ روکش صندلی چرم مشکی
_ سانروف
_ استارتر
_ سنسور و دوربین دنده عقب
_ آینه های جانبی تاشو برقی
_ تمامی شیشه ها برقی
_ رینگ آلومنیومی هفت پر 
_ سنسور فشار باد تایرها
_ دی لایت
_ هد لایت
_ مانیتور 7 اینچ اندرویدی با قابلیت برنامه های رفاهی مانند مپ و... 
_ تهویه مطبوع اتومات
_ سیستم صوتی با قابلیت کنترل از روی فرمان
_ دارای 2 کیسه هوای راننده و سرنشین
_ راهنمای شماره دنده و تعویض دنده در نمایشگر
_ سیستم ورود بدون سوئیچ(کیلس)
_ ترمز دیسکی
_ ماشین سالم و بی خط و خش بوده فقط صندوق عقب اندازه 2 بند انگشت(طبق عکس) ضربه دارد ",passenger_car,1.5 لیتر,4 سیلندر توربوشارژ (M15T),13.2 ثانیه,"600,000,000"
جک، S5,1401,"21,500 km",اتوماتیک,,سفید,مارون,بدون رنگ,خودرو کارمندی هستش انقدر کیلومتر هم خورده بابت رفت و برگشت مسیر محل کاره ( از نکا به ساری )  بیمه بیشتر از 6 ماه داره,crossover,1.5 لیتر,4 سیلندر توربوشارژ TGDi,,"1,380,000,000"
ام وی ام، 110,1390,"240,000 km",دنده ای,3.7 لیتر در صد کیلومتر,سفید,زیتونی,کاپوت رنگ,سلام   گیربکس سالم موتورسالم ،مناسب برای هرخانواده ،معاوضه نمی‌شود، تایرهااسپرت بیمه شخص ثالث وبدنه تا دی ماه،,hatchback,0.8 لیتر,3 سیلندر,18.7 ثانیه,"140,000,000"
پژو، 207,1402,"22,000 km",دنده ای,6.3 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,در حد صفر بدون نقطه بیمه یکسال فیکس ,hatchback,1.4 لیتر,4 سیلندر TU3,11.6 ثانیه,"610,000,000"
پژو، RD,1384,"400,000 km",دنده ای,,سبز,مشکی,گلگیر رنگ,,passenger_car,,,,"110,000,000"
مزدا، 3 قدیم,1386,"270,000 km",اتوماتیک,8.2 لیتر در صد کیلومتر,سفید,مشکی,دو لکه رنگ,"فنی و موتوری سرحال و سالم 
بدون روغن کم کردن و روغن ریزی
لاستیک ها نو",passenger_car,2 لیتر,4 سیلندر,10.8 ثانیه,"650,000,000"
پراید، 131,1390,"250,000 km",دنده ای,6.7 لیتر در صد کیلومتر,سفید,خاکستری,یک لکه رنگ,"ماشین واقعا سالم هست هیچ مشگلی نداردفقط
ندارم.فقط شاسی های جلو خوردگی",passenger_car,1.3 لیتر,4 سیلندر یورو3,13.8 ثانیه,"165,000,000"
پراید، 131,1393,"177,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,خاکستری,بدون رنگ,,passenger_car,1.3 لیتر,4 سیلندر یورو4 بهینه (M13),13.4 ثانیه,"230,000,000"
رانا، LX,1394,"130,000 km",دنده ای,6.9 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,"فنی عالی
",passenger_car,1.6 لیتر,4 سیلندر TU5 یورو4,12 ثانیه,"350,000,000"
پژو، 206,1398,"36,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,سلام و درود بی‌کران بدون خط و خش و تصادف از سال ۹۹ که ۱۶۰۰ کیلومتر کار کرده بود دست خودم هست لنت جلو، تسمه دینام و باتری فابریکش و رو تازه عوض کردم زاپاس نو و استفاده نشده روکش چرمی درجه یک، کفی یک‌تکه بابل موکت، نمد کاپوت، قاب سینی صندوق، تیوتر و پشت‌سری تیپ 5 بستم برای ماشینم با پراید نسیم مدل ۸۸ یا ۸۷ تمیز معاوضه می‌کنم تخفیف به خریدار واقعی پاینده باشید,hatchback,1.4 لیتر,4 سیلندر TU3,14.1 ثانیه,"470,000,000"
پراید، 131,1390,"100,000 km",دنده ای,6.7 لیتر در صد کیلومتر,نوک مدادی,نوک مدادی,دو درب رنگ, فنی سالم بیمه 9 ماه,passenger_car,1.3 لیتر,4 سیلندر یورو3 (M13),13.8 ثانیه,"200,000,000"
کی ام سی، T8,1401,"50,000 km",دنده ای,,مشکی,مشکی,بدون رنگ,"ماشین بدون نقطه و تمیز
گارانتی فعال 
افرود نرفته",pickup,2.0 لیتر,4 سیلندر توربوشارژ یورو5,,"1,385,000,000"
دنا، پلاس EF7,1401,"4,500 km",اتوماتیک,7.8 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,{بسم الله الرحمن الرحیم}   بدون نیاز به توضیحی خریدار واقعی تماس بگیره اگه خریدار واقعی طی یک یا دوروز خریداری کنه بهش تخفیف جزئ هم میدم کارکرد بابت فعال شدن گارانتی  ۲ سال کامل خواب بوده سرویس ۲ هفته هست انجام شده بیمه و شخص ثالث یکسال ,passenger_car,1.7 لیتر,4 سیلندر توربوشارژ EF7,10 ثانیه,"880,000,000"
رنو، پارس تندر,1397,"88,000 km",دنده ای,6.8 لیتر در صد کیلومتر,سفید,طوسی,بدون رنگ,مولتی مدیا گیربکس جدید (JHQ) l90 ماشین بسیار تمیز از سال ۹۸ دست خودم بوده  کیت کامل تسمه تایم ، صفحه کلاج ، لنت . باطری به تازگی عوض شده و ۴ حلقه لاستیک ۲۰۵,passenger_car,1.6 لیتر,4 سیلندر,10.2 ثانیه,"720,000,000"
ام وی ام، X22 PRO,1401,"35,000 km",اتوماتیک,,سفید,مشکی,بدون رنگ,با سلام  ماشین بسیار تمیز  بدون مشابه  بدون  لیسه  بدون نقطه و خط و خش,crossover,1.0 لیتر,3 سیلندر توربوشارژ,,"920,000,000"
پراید، صندوق دار,1389,"220,000 km",دنده ای,,سفید,کرم,چند لکه رنگ,ماشین دوم بوده ، فنی کاملا سالم، کولر کاملا سالم، بیمه تا بهمن ماه، لاستیک ۹۰ درصد,passenger_car,,,,"160,000,000"
تیبا، صندوق دار,1395,"180,000 km",دنده ای,6.9 لیتر در صد کیلومتر,سفید,مشکی,اتاق تعویض,تمام رنگ شاسی ها سالم شاسی جلو سمت شاگرد درحد نقطه سمت راننده سالم لاستیک ها صفر رینگ اسپورت ضبط سونی سیستم خور باند حرفه ای گیربکس تازه تعمیر موتور بدون ایراد ایربگ کولر ندارد جعبه فرمان معمولی فروش نقدی و فوری تخفیف جزیی پای قولنامه,passenger_car,1.5 لیتر,4 سیلندر M15,13 ثانیه,"225,000,000"
کوییک، دنده ای,1398,"16,500 km",دنده ای,7 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,"مهلت بیمه ۴ ماه
مشابه صفر
بدون هیچ خط و خش",hatchback,1.5 لیتر,4 سیلندر M15 یورو4,13 ثانیه,"358,000,000"
هایما، S7,1397,"68,000 km",اتوماتیک,9.7 لیتر در صد کیلومتر,خاکستری,مارون,بدون رنگ,خودرو از لحاظ فنی واقعا در حد صفر بدونه ضربه بدونه خط و خش کارکرد  واقعی هنوز لاستیک های فابریک زیرشه داخل کابین نو نو ...,crossover,1.8 لیتر,4 سیلندر توربوشارژ,10.5 ثانیه,"1,250,000,000"
فولکس، گلف,2018,"45,000 km",اتوماتیک,6.5 لیتر در صد کیلومتر,قرمز,مشکی,بدون رنگ,"فول  بدون توضیح
دارای کیت بدنه اوتینگر و کیت اگزوز
بسیار سالم و تمیز فنی رزومه دار در نمایندگی همراه با فاکتور",hatchback,2 لیتر,4 سیلندر توربوشارژ,6.4 ثانیه,"5,500,000,000"
تویوتا، کمری,2007,"500,000 km",دنده ای,8.2 لیتر در صد کیلومتر,خاکستری,کرم,چند لکه رنگ,تمام قطعات مصرفی تعویض شده است,passenger_car,2.4 لیتر,4 سیلندر,10.5 ثانیه,"1,000,000,000"
کوییک، دنده ای S,1402,"21,000 km",دنده ای,7.1 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,بدون خط و خش شیشه ها تماما دودی  شیشه پشت هم دودی دور فرمانی چرم دوختنی در حد صفر بیمه ۱۲ ماه کامل  تخفیف جزئی پای معامله دلال عزیز تماس نگیرید لطفاً,hatchback,1.5 لیتر,4 سیلندر M15,13 ثانیه,"417,000,000"
ب ام و، سری 7,2017,"7,000 km",اتوماتیک,6.2 لیتر در صد کیلومتر,سفید,موکا,بدون رنگ,همراه با کارشناسی,passenger_car,2 لیتر,4 سیلندر توربوشارژ,6.3 ثانیه,"18,000,000,000"
تارا، اتوماتیک V4,1402,"12,000 km",اتوماتیک,7.3 لیتر در صد کیلومتر,تیتانیوم,مشکی,بدون رنگ, بسیار تمیز و خانگی,passenger_car,1.6 لیتر,4 سیلندر TU5 پلاس,13 ثانیه,"885,000,000"
هیوندای، سانتافه,2009,"238,000 km",اتوماتیک,10.4 لیتر در صد کیلومتر,بادمجانی,کرم,بدون رنگ,,crossover,2.7 لیتر,6 سیلندر,11.3 ثانیه,"1,650,000,000"
کوییک، دنده ای R,1399,"85,000 km",دنده ای,7 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ,,hatchback,1.5 لیتر,4 سیلندر M15 یورو4,13 ثانیه,"330,000,000"
هیوندای، i20 (مونتاژ),1396,"110,000 km",اتوماتیک,6.7 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ,"وضعیت بدنه: لیسه جزیی دارد
وضعیت فنی:موتور گیربکس سالم
برای بازدید خودرو و کسب اطلاعات بیشتر لطفا از ساعت 10 صبح تا 9 شب تماس بگیرید",hatchback,1.4 لیتر,4 سیلندر,13.2 ثانیه,"1,450,000,000"
هایما، S7,1395,"252,000 km",اتوماتیک,8.8 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,موتور تازه تعمیر شده,crossover,2 لیتر,4 سیلندر,13 ثانیه,"950,000,000"
ب ام و، X3,2016,"55,000 km",اتوماتیک,7.3 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,فول کامل با کیت ام و در حد صفر سیستم هارمن فول رادار تک برگ سند فقط مصرف کننده تمامی سرویسها انجام شده فول و واقعا نو,crossover,2 لیتر,4 سیلندر توربوشارژ,6.5 ثانیه,"7,450,000,000"
رانا، LX,1393,"254,000 km",دنده ای,6.9 لیتر در صد کیلومتر,بادمجانی,مشکی,یک لکه رنگ,"موتور و گیربکس کاملا سالم
۶ ماه بیمه شخص ثالث (تخفیف کامل)
کولر فوق العاده 
روکش صندلی نو
دزدگیر تصویری 
شیشه بالابر اتوماتیک برقی
صندوق پران
باطری نو و دارای گارانتی به همراه محافظ ضد سرقت برای باطری
ضبط مانیتور دار به همراه یک جفت باند خربزه ای
دزدگیر تصویری 
سنسور و دوربین دنده عقب 
نهایتا بدون هیچگونه ایراد و مشکل
دارای خط و خش جزئی 
درب صندوق عقب و گلگیر عقب تعویض 
ستون عقب سمت شاگرد رنگ دارد",passenger_car,1.6 لیتر,4 سیلندر TU5 یورو4,12 ثانیه,"315,000,000"
جک، S3,1397,"79,000 km",اتوماتیک,7.6 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,فنی سالم. زدگی داره بدون رنگ در میاد.,crossover,1.6 لیتر,4 سیلندر,10.8 ثانیه,"800,000,000"
فونیکس، تیگو 8 پرو,1401,"27,000 km",اتوماتیک,7 لیتر در صد کیلومتر,مشکی,مارون,صافکاری بدون رنگ,خودرو فوق بدون ضعف میباشید جلو کاپوت به اندازه یک وجب لیسه شده مابقیه بدون رنگ و گارانتی فعال میباشد,crossover,1.6 لیتر,4 سیلندر توربوشارژ (4J16),8.9 ثانیه,"2,070,000,000"
پراید، 111,1398,"39,000 km",دنده ای,6.4 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ,سلام  خط وخش ندارد کامل خانگی فنی وشاسی پلمپ فوری فروشی,hatchback,1.3 لیتر,4 سیلندر یورو4 بهینه (M13),13.4 ثانیه,"310,000,000"
لیفان، X60,1392,"220,000 km",دنده ای,8.2 لیتر در صد کیلومتر,سفید,طوسی,صافکاری بدون رنگ,فنی سالم دنده معمولی(هیلمنی نیست)  بیمه6ماه  معاینه فنی 8ماه  همه سیستمها سالم هستند مونیتور وسانروف و سنسور دنده عقب و... قابل معاوضه با لیفان X50 یا MVM315,crossover,1.8 لیتر,4 سیلندر,13 ثانیه,"484,000,000"
ب ام و، X3,2005,"280,000 km",اتوماتیک,,نوک مدادی,مشکی,دو لکه رنگ,تمامی هزینه ها انجام شده بسیار سلامت,crossover,,,,"1,550,000,000"
ب ام و، سری 5 سدان,2016,"30,000 km",اتوماتیک,6.5 لیتر در صد کیلومتر,کربن بلک,موکا,بدون رنگ,"فول ترین و کامل ترین نسخه وارد شده شرکتی
۵ کلید -4 گرم کن- هارمن کاردن- بال عقب .",passenger_car,2 لیتر,4 سیلندر توربوشارژ (N20B20),6.2 ثانیه,"10,300,000,000"
پژو، پارس,1401,"45,000 km",دنده ای,7.5 لیتر در صد کیلومتر,سفید,کرم,بدون رنگ,,passenger_car,1.6 لیتر,4 سیلندر TU5,13.2 ثانیه,"715,000,000"
فونیکس، آریزو 6 پرو,1401,"35,000 km",اتوماتیک,6.9 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ,"خودرو نونو بدون نقطه 
بدون خط وخش 
خرید مستقیم از نمایندگی 
دارای برگه کارشناسی
مدا ک‌اماده انتقال 
گارانتی فعال",passenger_car,1.5 لیتر,4 سیلندر توربوشارژ (4T15C),10.5 ثانیه,"1,350,000,000"
پژو، 405,1393,"220,000 km",دنده ای,9 لیتر در صد کیلومتر,خاکستری,کرم,صافکاری بدون رنگ,"باتری نو
تسمه تایم تعویض شده
تسمه دینام تعویض شده 
لاستیک 80٪ 
۱۰ ماه بیمه دارد
کمک عقب تعویض شده",passenger_car,1.8 لیتر,4 سیلندر L3,11 ثانیه,"310,000,000"
کیا، ریو (مونتاژ),1386,"242,000 km",دنده ای,7 لیتر در صد کیلومتر,مشکی,طوسی,کامل رنگ,کم کارکردواقعی موتورگیربکس پلمپ لاستیکها هرچهارحلقه کره ایی نو بیمه کامل ۱۲ماه کولر وبخاری سالم سالم جلو وعقب سالم بخاطره آفتاب سوختگی تمام رنگ شده به هیچ وجه چپی نیست دیسک وصفحه جلوبندی بلبرینگهالنتهاسالم سلام موتورگیربکس پلمپ وبسیارسالم وکم کاره واقعی وبدون صدابسیارنرم وبیصدا تسمه تایم تازه تعویض شده رادیاتور وترموسات تازه تعویض شده خودروبدون خرجه تخفیف جزیی موقع معامله توضیحات کامل داده شده لطفا خریداره واقعی تماس بگیره باتشکر.,passenger_car,1.5 لیتر,4 سیلندر,11.3 ثانیه,"198,000,000"
پراید، 132,1389,"461,000 km",دنده ای,,نوک مدادی,نوک مدادی,یک لکه رنگ,"دو گانه CNGدستی سالم به شرط کارشناسی 
بدون یک ریال خرج 
تمام مصرفی ها عوض شده و ۴ حلقه لاستیک ۱۰۰ درصد نو 
و دارای معاینه فنی 
شاسی های جلو و عقب پلمپ و بدون ضربه و بدون ترک و آفتاب سوختگی
ماشین بی رنگه فقط درب سمت شاگرد جلو تعویض 
ماشین سالمه بیای ببینی متوجه میشی",passenger_car,,,,"204,000,000"
لاماری، ایما,1402,"18,000 km",اتوماتیک,,تیتانیوم,مشکی,بدون رنگ,ماشین لاماری ایما دارای بیمه بدنه   فروش شخصی و فوری,suv,1.5 لیتر,4 سیلندر توربوشارژ (4A95TD),9.5 ثانیه,"1,780,000,000"
پژو، پارس,1387,"325,000 km",دنده ای,9.1 لیتر در صد کیلومتر,خاکستری,مشکی,درب تعویض,"سلام.
لوازم مصرفی کامل تعویض شده.
سر سیلندر و صفحه کلاج تعویض شده. جلو بندی و کمک‌های جلو نو ، باطری تازه تعویض شده. در سوپاپ جدید. بدون روغن ریزی.
کولر تازه سرویس شده و گاز کولر نو می‌باشد. لنت و دیسک ترمز تازه عوض شده و نو میباشد.
از نظر فنی خیلی به ماشین رسیدم بدون خرج میباشد.
سمت شاگرد، در جلو و عقب و گلگیر تعویض شده.
ماشین فنی عالی. 
کولر یخچال. 
توضیحات کامله.",passenger_car,1.8 لیتر,4 سیلندر XU7,11 ثانیه,"315,000,000"
پراید، صندوق دار,1389,"220,000 km",دنده ای,,سفید,خاکستری,بدون رنگ,بازدید با هماهنگی قبلی,passenger_car,,,,"195,000,000"
چری، آریزو 6,1399,"110,000 km",اتوماتیک,6.4 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ,فقط نقدی توضیحات نداره در حد صفره,passenger_car,1.5 لیتر,4 سیلندر توربوشارژ,9 ثانیه,"1,150,000,000"
هیوندای، ولستر,2014,"152,000 km",اتوماتیک,7.5 لیتر در صد کیلومتر,مسی,مشکی,چند لکه رنگ,"سند دست اول
بدون تصادف و تعویض
موتور و گیربکس پلمپ
شاسی سالم
۱۰ سال تخفیف بیمه
لاستیک ۹۰ درصد
۱۰ ماه بیمه",coupe,1.6 لیتر,4 سیلندر MPI,11.5 ثانیه,"1,500,000,000"
کوییک، SR,1402,"2,500 km",دنده ای,,سفید,مشکی,بدون رنگ, سرویس های دوره ای انجام شده درب عقب شاگرد زیر دستگیره ۳ سانت صافکاری شده است تخفیف پای معامله - فوری,hatchback,,,,"404,000,000"
ام وی ام، X55 PRO,1401,"13,000 km",اتوماتیک,,سفید,مشکی,بدون رنگ,"ماشین درحدصفر 
بیمه یکسال
بدون خط وخش
شارژر وایرلس
کفی سه بعدی فول آپشن",suv,1.5 لیتر,4 سیلندر توربوشارژ بهینه شده,,"1,400,000,000"
لکسوس، NX,2017,"35,000 km",اتوماتیک,7.9 لیتر در صد کیلومتر,مشکی,مارون,بدون رنگ,۷ کلید عمان  به شرط کارشناسی  لطفا فقط تماس بگیرید,crossover,2 لیتر,4 سیلندر توربوشارژ,7.2 ثانیه,"8,600,000,000"
سمند، سورن,1403,"2,500 km",دنده ای,7.3 لیتر در صد کیلومتر,سفید,سفید,بدون رنگ,"مانیتور و دوربین دنده عقب
رینگ فولادی
گارانتی فعال",passenger_car,1.7 لیتر,4 سیلندر EF7,12 ثانیه,"680,000,000"
پراید، صندوق دار,1387,"153,000 km",دنده ای,,سفید,خاکستری,درب تعویض,سقف به دلیل پرتاب سنگ ضربه خورده دو درب سمت شاگرد تعویض شاسی کشیده شده نسبت به سن ماشین کم کارکرد,passenger_car,,,,"130,000,000"
هیوندای، سوناتا,2015,"268,000 km",اتوماتیک,8 لیتر در صد کیلومتر,مشکی,مشکی,دو لکه رنگ,فول کامل سند دست اول صندوق تعویض و مقداری از گلگیر عقب رنگ شدگی دارد فنی سواری درجه یک,passenger_car,2.4 لیتر,4 سیلندر MPi,9.5 ثانیه,"2,280,000,000"
دانگ فنگ، H30 کراس,1396,"136,000 km",اتوماتیک,7.7 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,ماشین بی نقص فنی سالم  ,hatchback,1.6 لیتر,4 سیلندر TU5,12.5 ثانیه,"570,000,000"
پژو، 206,1400,"60,000 km",دنده ای,6.4 لیتر در صد کیلومتر,خاکستری,مشکی,بدون رنگ,"باسلام
شاسی جلو عقب پلمپ
تمام سرویس انجام شده ازجمله دیسک صفحه،تسمه ها،شمع وایر،لنت و ....همگی عوض شده روغن تمام فیلترها تعویض گردیده
زاپاس زیرش نرفته،کولر روشن 
شیشه ها دودی،قفل کاپوت،روکش درضدسرقت
برگه کارشناسی موجود است
برای اطلاعات بیشتر تماس بگیرید",hatchback,1.4 لیتر,4 سیلندر TU3,14.1 ثانیه,"500,000,000"
پژو، 207,1401,"45,000 km",دنده ای,6.6 لیتر در صد کیلومتر,نوک مدادی,مشکی,بدون رنگ,"ماشین در سلامت کامل 
بدون لیسه 
کارکرد واقعی 
معاوضه با سراتو",hatchback,1.6 لیتر,4 سیلندر TU5,11.6 ثانیه,"675,000,000"
دنا، پلاس EF7,1401,"14,000 km",اتوماتیک,7.8 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ,به رویت صفر، فوق العاده تمیز، تمامی سرویس‌ها انجام شده.,passenger_car,1.7 لیتر,4 سیلندر توربوشارژ EF7,10 ثانیه,"815,000,000"
پژو، 405,1398,"90,000 km",دنده ای,7.5 لیتر در صد کیلومتر,سفید,کرم,بدون رنگ,لاستیک تازه تعویض شده چهار حلقه تخفیف بیمه چهار سال ..فنی سالم.. نوک گلگیر لیسه شده رنگ وبتونه نداره,passenger_car,1.6 لیتر,4 سیلندر TU5,13.2 ثانیه,"510,000,000"
تیبا، هاچ بک,1396,"161,000 km",دنده ای,6.9 لیتر در صد کیلومتر,سفید,طوسی,دو لکه رنگ,زیر و بند و موتور سالم آینه دوربین دار سیستم صوتی کامل با امپ و ساب کف پوش یک تیکه کف ماشین کف پوش صندوق عقب تایر ۷۰ درصد دوناحیه رنگ شدگی گلگیر جلو و گلگیر لقب اندازه یک کف دست تخفیف پای معامله,hatchback,1.5 لیتر,4 سیلندر M15,13 ثانیه,"310,000,000"
